127.0.0.1 - - [24/Apr/2024:10:14:35 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:26 +0800] "GET /EComtracWeb/wicket/bookmarkable/com.ssm.ezbiz.comtrac.SelectComtracTraining HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:26 +0800] "GET /EComtracWeb/wicket/bookmarkable/com.ssm.ezbiz.comtrac.SelectComtracTraining?4 HTTP/1.1" 200 17019
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:26 +0800] "GET /EComtracWeb/wicket/page?4-IResourceListener-banner HTTP/1.1" 200 200014
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/wicket/page?4-1.ILinkListener-isLogin-signout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/?0 HTTP/1.1" 200 16133
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /lib/w3.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/semantic/semantic.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/jquery-ticker/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/js/ssmScript.js?version=15 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/jquery/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/jquery-ticker/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:35 +0800] "GET /EComtracWeb/jquery/jquery-1.9.1.js HTTP/1.1" 304 -
